,subject,type,metric,popsd,sampsize,popmean,sampmean,z,p,p≤0.05,p≤0.005,p≤0.0005,p≤0.00005,Positive?
36,eng,AP English|Prep Courses,Last GPA,0.5668297576165395,24,3.7119560878243516,4.172916666666667,3.9839764745219877,3.388579237198792e-05,True,True,True,True,True
37,eng,AP English|Prep Courses,English Avg,7.236619252974215,24,83.19081836327345,90.25833333333333,4.784500834146596,8.570639288168453e-07,True,True,True,True,True
38,eng,AP English|Prep Courses,Math Avg,7.575285658571098,24,85.60878243512974,89.53333333333335,2.5380289545393957,0.005573938043700674,True,False,False,False,True
39,eng,AP English|Prep Courses,Science Avg,6.372395295577668,24,85.98203592814372,91.15000000000002,3.9730350670081753,3.548129860378766e-05,True,True,True,True,True
40,eng,AP English|Honors English,Composite ACT,4.568623777226112,23,24.043912175648703,29.434782608695652,5.6589703205104795,7.614194263090952e-09,True,True,True,True,True
41,eng,AP English|Honors English,English ACT,5.8674127317933324,23,24.067864271457086,31.17391304347826,5.808252165795853,3.1564194163794487e-09,True,True,True,True,True
42,eng,AP English|Honors English,Math ACT,4.851497679371729,23,22.882235528942115,26.91304347826087,3.9845583993489146,3.3802865038251526e-05,True,True,True,True,True
43,eng,AP English|Honors English,Science ACT,4.779078392380357,23,23.65868263473054,27.565217391304348,3.920229172713341,4.423240132640062e-05,True,True,True,True,True
44,eng,AP English|Honors English,Last GPA,0.5668297576165395,23,3.7119560878243516,4.214782608695652,4.254313128675935,1.0484584702318768e-05,True,True,True,True,True
45,eng,AP English|Honors English,English Avg,7.236619252974215,23,83.19081836327345,90.50434782608696,4.84680123664402,6.273400907514173e-07,True,True,True,True,True
46,eng,AP English|Honors English,Math Avg,7.575285658571098,23,85.60878243512974,91.32173913043479,3.6168111732742894,0.00014912735753179978,True,True,True,False,True
47,eng,AP English|Honors English,Science Avg,6.372395295577668,23,85.98203592814372,90.80000000000003,3.6259746770624632,0.0001439367830217099,True,True,True,False,True
48,eng,Honors English,Composite ACT,4.568623777226112,6,24.043912175648703,28.166666666666668,2.2104347677088185,0.013537501544849263,True,False,False,False,True
49,eng,Honors English,English ACT,5.8674127317933324,6,24.067864271457086,30.666666666666668,2.7548255970018696,0.002936171416826203,True,True,False,False,True
50,eng,Honors English,Math ACT,4.851497679371729,6,22.882235528942115,25.0,1.0692455592720616,0.1424795172730648,False,False,False,False,True
51,eng,Honors English,Science ACT,4.779078392380357,6,23.65868263473054,27.333333333333332,1.8834215418792002,0.029821631631466235,True,False,False,False,True
52,eng,Honors English,Last GPA,0.5668297576165395,6,3.7119560878243516,3.8249999999999997,0.4885062924760124,0.3125956348739742,False,False,False,False,True
53,eng,Honors English,English Avg,7.236619252974215,6,83.19081836327345,84.35000000000001,0.3923660247866901,0.34739389289431233,False,False,False,False,True
54,eng,Honors English,Math Avg,7.575285658571098,6,85.60878243512974,84.63333333333334,-0.3154141872859804,0.37622359815012346,False,False,False,False,False
55,eng,Honors English,Science Avg,6.372395295577668,6,85.98203592814372,86.33333333333333,0.13503546951575224,0.44629191526848355,False,False,False,False,True
56,eng,Honors English|Prep Courses,Composite ACT,4.568623777226112,4,24.043912175648703,24.75,0.3091030729520939,0.37862156085053,False,False,False,False,True
57,eng,Honors English|Prep Courses,English ACT,5.8674127317933324,4,24.067864271457086,25.25,0.40294957337409004,0.34349266069988005,False,False,False,False,True
58,eng,Honors English|Prep Courses,Math ACT,4.851497679371729,4,22.882235528942115,22.75,-0.054513281333462046,0.4782631136751623,False,False,False,False,False
59,eng,Honors English|Prep Courses,Science ACT,4.779078392380357,4,23.65868263473054,22.75,-0.38027525816664565,0.35187054978360016,False,False,False,False,False
60,eng,Honors English|Prep Courses,Last GPA,0.5668297576165395,4,3.7119560878243516,4.085,1.3162467466219818,0.0940456191730869,False,False,False,False,True
61,eng,Honors English|Prep Courses,English Avg,7.236619252974215,4,83.19081836327345,89.625,1.7782285931603026,0.03768315931664429,True,False,False,False,True
62,eng,Honors English|Prep Courses,Math Avg,7.575285658571098,4,85.60878243512974,90.275,1.2319581795811616,0.1089823532706427,False,False,False,False,True
63,eng,Honors English|Prep Courses,Science Avg,6.372395295577668,4,85.98203592814372,90.0,1.261052990433497,0.10364487798723038,False,False,False,False,True
64,mth,None,Composite ACT,4.568623777226112,154,24.043912175648703,22.941558441558442,-2.9943043571877124,0.0013753570085601988,True,True,False,False,False
65,mth,None,English ACT,5.8674127317933324,154,24.067864271457086,23.227272727272727,-1.7778648289702135,0.03771302894689776,True,False,False,False,False
66,mth,None,Math ACT,4.851497679371729,154,22.882235528942115,20.707792207792206,-5.562021000630327,1.3333409603057457e-08,True,True,True,True,False
67,mth,None,Science ACT,4.779078392380357,154,23.65868263473054,22.707792207792206,-2.4691454926154033,0.006771806999603241,True,False,False,False,False
68,mth,None,Last GPA,0.5668297576165395,154,3.7119560878243516,3.369805194805195,-7.490751611040985,3.4240154519867754e-14,True,True,True,True,False
69,mth,None,English Avg,7.236619252974215,154,83.19081836327345,78.61298701298702,-7.850266965488323,2.0757629712662084e-15,True,True,True,True,False
70,mth,None,Math Avg,7.575285658571098,154,85.60878243512974,81.69935064935065,-6.404348930114531,7.550619682585514e-11,True,True,True,True,False
71,mth,None,Science Avg,6.372395295577668,154,85.98203592814372,81.46948051948051,-8.787800714407004,7.625810392490665e-19,True,True,True,True,False
72,mth,Prep Courses,Composite ACT,4.568623777226112,83,24.043912175648703,20.240963855421686,-7.583576535466577,1.680785461915398e-14,True,True,True,True,False
73,mth,Prep Courses,English ACT,5.8674127317933324,83,24.067864271457086,19.650602409638555,-6.858759155585255,3.473061504211776e-12,True,True,True,True,False
74,mth,Prep Courses,Math ACT,4.851497679371729,83,22.882235528942115,19.048192771084338,-7.19979564940984,3.015143342572204e-13,True,True,True,True,False
75,mth,Prep Courses,Science ACT,4.779078392380357,83,23.65868263473054,19.91566265060241,-7.135378864087709,4.826046519606937e-13,True,True,True,True,False
76,mth,Prep Courses,Last GPA,0.5668297576165395,83,3.7119560878243516,3.346626506024096,-5.871799856597147,2.155444999007747e-09,True,True,True,True,False
77,mth,Prep Courses,English Avg,7.236619252974215,83,83.19081836327345,81.2710843373494,-2.4168204407902576,0.007828369225701577,True,False,False,False,False
78,mth,Prep Courses,Math Avg,7.575285658571098,83,85.60878243512974,80.07710843373494,-6.652679627225143,1.4390211461575027e-11,True,True,True,True,False
79,mth,Prep Courses,Science Avg,6.372395295577668,83,85.98203592814372,83.57228915662651,-3.445146900993493,0.0002853745586110363,True,True,True,False,False
80,mth,AP Math|Honors Math,Composite ACT,4.568623777226112,76,24.043912175648703,27.93421052631579,7.423424732546777,5.706501911030553e-14,True,True,True,True,True
81,mth,AP Math|Honors Math,English ACT,5.8674127317933324,76,24.067864271457086,28.11842105263158,6.018314538720575,8.81212414106231e-10,True,True,True,True,True
82,mth,AP Math|Honors Math,Math ACT,4.851497679371729,76,22.882235528942115,28.092105263157894,9.361767100092091,3.9207041743883946e-21,True,True,True,True,True
83,mth,AP Math|Honors Math,Science ACT,4.779078392380357,76,23.65868263473054,27.407894736842106,6.839158234801083,3.98299295528344e-12,True,True,True,True,True
84,mth,AP Math|Honors Math,Last GPA,0.5668297576165395,76,3.7119560878243516,4.154078947368421,6.799815427776313,5.2376634979027956e-12,True,True,True,True,True
85,mth,AP Math|Honors Math,English Avg,7.236619252974215,76,83.19081836327345,87.29078947368421,4.939146061711543,3.923271212130212e-07,True,True,True,True,True
86,mth,AP Math|Honors Math,Math Avg,7.575285658571098,76,85.60878243512974,92.01842105263157,7.376346782829113,8.134595858881794e-14,True,True,True,True,True
87,mth,AP Math|Honors Math,Science Avg,6.372395295577668,76,85.98203592814372,90.5078947368421,6.19163133007156,2.977234744932801e-10,True,True,True,True,True
88,mth,Honors Math,Composite ACT,4.568623777226112,74,24.043912175648703,25.5,2.7416880209942396,0.0030562183345970778,True,True,False,False,True
89,mth,Honors Math,English ACT,5.8674127317933324,74,24.067864271457086,26.06756756756757,2.931802990014293,0.0016850022741469021,True,True,False,False,True
90,mth,Honors Math,Math ACT,4.851497679371729,74,22.882235528942115,24.283783783783782,2.485124133289353,0.006475313345334506,True,False,False,False,True
91,mth,Honors Math,Science ACT,4.779078392380357,74,23.65868263473054,24.7972972972973,2.04950261892329,0.020206496007965587,True,False,False,False,True
92,mth,Honors Math,Last GPA,0.5668297576165395,74,3.7119560878243516,3.863918918918919,2.3062192554478997,0.010549192090233965,True,False,False,False,True
93,mth,Honors Math,English Avg,7.236619252974215,74,83.19081836327345,83.95945945945947,0.9137002365145531,0.18043718985821067,False,False,False,False,True
94,mth,Honors Math,Math Avg,7.575285658571098,74,85.60878243512974,87.8608108108108,2.5573531443396935,0.00527360409986501,True,False,False,False,True
95,mth,Honors Math,Science Avg,6.372395295577668,74,85.98203592814372,87.03243243243243,1.4179679649702162,0.07810005889615967,False,False,False,False,True
96,mth,AP Math|Honors Math|Prep Course,Composite ACT,4.568623777226112,47,24.043912175648703,26.51063829787234,3.701557211178289,0.00010714016310053662,True,True,True,False,True
97,mth,AP Math|Honors Math|Prep Course,English ACT,5.8674127317933324,47,24.067864271457086,26.46808510638298,2.8044873884146813,0.002519832958127361,True,True,False,False,True
98,mth,AP Math|Honors Math|Prep Course,Math ACT,4.851497679371729,47,22.882235528942115,25.74468085106383,4.0449233902429675,2.6170118495712305e-05,True,True,True,True,True
99,mth,AP Math|Honors Math|Prep Course,Science ACT,4.779078392380357,47,23.65868263473054,25.914893617021278,3.2365661180361345,0.0006048859861203231,True,True,False,False,True
100,mth,AP Math|Honors Math|Prep Course,Last GPA,0.5668297576165395,47,3.7119560878243516,4.328297872340427,7.454489348273633,4.510828218924332e-14,True,True,True,True,True
101,mth,AP Math|Honors Math|Prep Course,English Avg,7.236619252974215,47,83.19081836327345,90.53404255319148,6.956647426033533,1.7423279014775127e-12,True,True,True,True,True
102,mth,AP Math|Honors Math|Prep Course,Math Avg,7.575285658571098,47,85.60878243512974,91.34255319148937,5.189078489602011,1.0566865449428358e-07,True,True,True,True,True
103,mth,AP Math|Honors Math|Prep Course,Science Avg,6.372395295577668,47,85.98203592814372,91.90638297872339,6.373628004506432,9.230402843957286e-11,True,True,True,True,True
104,mth,Honors Math|Prep Courses,Composite ACT,4.568623777226112,35,24.043912175648703,22.97142857142857,-1.388798657543411,0.082446991797759,False,False,False,False,False
105,mth,Honors Math|Prep Courses,English ACT,5.8674127317933324,35,24.067864271457086,22.857142857142858,-1.2207637010735646,0.11108775056254089,False,False,False,False,False
106,mth,Honors Math|Prep Courses,Math ACT,4.851497679371729,35,22.882235528942115,21.97142857142857,-1.1106687014534746,0.13335548952557885,False,False,False,False,False
107,mth,Honors Math|Prep Courses,Science ACT,4.779078392380357,35,23.65868263473054,22.714285714285715,-1.1690805359403884,0.12118559256511036,False,False,False,False,False
108,mth,Honors Math|Prep Courses,Last GPA,0.5668297576165395,35,3.7119560878243516,3.8382857142857136,1.3185196067638185,0.09366488299102765,False,False,False,False,True
109,mth,Honors Math|Prep Courses,English Avg,7.236619252974215,35,83.19081836327345,88.12000000000002,4.029703762054183,2.792359409360409e-05,True,True,True,True,True
110,mth,Honors Math|Prep Courses,Math Avg,7.575285658571098,35,85.60878243512974,88.04857142857142,1.9054048902826362,0.02836373001537865,True,False,False,False,True
111,mth,Honors Math|Prep Courses,Science Avg,6.372395295577668,35,85.98203592814372,90.16571428571427,3.8840928414141738,5.135632860743181e-05,True,True,True,False,True
112,mth,AP Math,Composite ACT,4.568623777226112,24,24.043912175648703,23.083333333333332,-1.0300379878575368,0.15149608668975445,False,False,False,False,False
113,mth,AP Math,English ACT,5.8674127317933324,24,24.067864271457086,22.208333333333332,-1.5526100404155285,0.06025816275346045,False,False,False,False,False
114,mth,AP Math,Math ACT,4.851497679371729,24,22.882235528942115,24.166666666666668,1.2970019177974974,0.09731526346652974,False,False,False,False,True
115,mth,AP Math,Science ACT,4.779078392380357,24,23.65868263473054,22.875,-0.8033442508205555,0.2108878939833218,False,False,False,False,False
116,mth,AP Math,Last GPA,0.5668297576165395,24,3.7119560878243516,3.7087499999999998,-0.027709481143806128,0.4889469308745276,False,False,False,False,False
