,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1603,beowulf,himself,meanwhile,the,sword,,,,,,,,,,,,,,
1604,began,to,wilt,into,gory,icicles,,,,,,,,,,,,,
1605,to,slather,and,thaw,it,was,a,wonderful,thing,,,,,,,,,,
1606,the,way,it,all,melted,as,ice,melts,,,,,,,,,,,
1607,when,the,father,eases,the,fetters,off,the,frost,,,,,,,,,,
1608,and,unravels,the,waterropes,he,who,wields,power,1610,,,,,,,,,,
1609,over,time,and,tide,he,is,the,true,lord,,,,,,,,,,
1610,the,geat,captain,saw,treasure,in,abundance,,,,,,,,,,,,
1611,but,carried,no,spoils,from,those,quarters,,,,,,,,,,,,
1612,except,for,the,head,and,the,inlaid,hilt,,,,,,,,,,,
1613,embossed,with,jewels,its,blade,had,melted,,,,,,,,,,,,
1614,and,the,scrollwork,on,it,burnt,so,scalding,was,the,blood,,,,,,,,
1615,of,the,poisonous,fiend,who,had,perished,there,,,,,,,,,,,
1616,then,away,he,swan,the,one,who,had,survived,,,,,,,,,,
1617,the,fall,of,his,enemies,flailing,to,the,surface,,,,,,,,,,
1618,the,wide,water,the,waves,and,pools,1620,,,,,,,,,,,
1619,were,no,longer,infested,once,the,wandering,fiend,,,,,,,,,,,
1620,let,go,of,her,life,and,this,unreliable,world,,,,,,,,,,
1621,the,seafarers,leader,made,for,land,,,,,,,,,,,,,
1622,resolutely,swimming,delighted,with,his,prize,,,,,,,,,,,,,
1623,the,mighty,load,he,was,lugging,to,the,surface,,,,,,,,,,
1624,his,thanes,advanced,in,a,troop,to,meet,him,,,,,,,,,,
1625,thanking,god,and,taking,great,delight,,,,,,,,,,,,,
1626,in,seeing,their,prince,back,safe,and,sound,,,,,,,,,,,
1627,quickly,the,heros,helmet,and,mailshirt,,,,,,,,,,,,,
1628,were,loosed,and,unlaced,the,lake,settled,1630,,,,,,,,,,,
1629,clouds,darkened,above,the,bloodshot,depths,,,,,,,,,,,,,
1630,with,high,hearts,they,headed,away,,,,,,,,,,,,,
1631,along,footpath,and,trails,through,the,fields,,,,,,,,,,,,
1632,roads,that,they,knew,each,of,them,wrestling,,,,,,,,,,,
1633,with,the,head,they,were,carrying,from,the,lakeside,cliff,,,,,,,,,
1634,men,kingly,in,their,courage,and,capable,,,,,,,,,,,,
1635,of,difficult,work,it,was,a,task,for,four,,,,,,,,,,
1636,to,hoist,grendels,head,on,a,spear,,,,,,,,,,,,
1637,and,bear,it,under,strain,to,the,bright,hall,,,,,,,,,,
1638,but,soon,enough,they,neared,the,place,1640,,,,,,,,,,,
1639,fourteen,geats,in,fine,fettle,,,,,,,,,,,,,,
1640,striding,across,the,outlying,ground,,,,,,,,,,,,,,
1641,in,a,delighted,throng,around,they,leader,,,,,,,,,,,,
1642,in,he,came,then,the,thanes,commander,,,,,,,,,,,,
1643,the,archwarrior,to,address,hrothgar,,,,,,,,,,,,,,
1644,his,courage,was,proven,his,glory,was,secure,,,,,,,,,,,
1645,grendels,head,was,hauled,by,the,hair,,,,,,,,,,,,
1646,dragged,across,the,floor,where,people,were,drinking,,,,,,,,,,,
1647,a,horror,for,both,queen,and,company,to,behold,,,,,,,,,,
1648,they,stared,in,awe,it,was,an,astonishing,sight,1650,,,,,,,,,
1649,beowulf,son,of,ecgtheow,spoke,,,,,,,,,,,,,,
1650,so,son,of,halfdane,prince,of,the,shieldings,,,,,,,,,,,
1651,we,are,glad,to,bring,this,booty,from,the,lake,,,,,,,,,
1652,it,is,a,token,of,triumph,and,we,tender,it,to,you,,,,,,,
1653,i,barely,survived,the,battle,underwater,,,,,,,,,,,,,
1654,it,was,hardfought,a,desperate,affair,,,,,,,,,,,,,
1655,that,could,have,gone,badly,if,god,had,not,helped,me,,,,,,,,
1656,the,outcome,would,have,been,quick,and,fatal,,,,,,,,,,,
1657,although,hrunting,is,hardedged,,,,,,,,,,,,,,,
1658,i,could,never,bring,it,to,bear,in,battle,1660,,,,,,,,,
1659,but,the,lord,of,men,allowed,me,to,behold,,,,,,,,,,
1660,for,he,often,helps,the,unbefriended,,,,,,,,,,,,,
1661,an,ancient,sword,shinning,on,the,wall,,,,,,,,,,,,
1662,a,weapon,made,for,giants,there,for,the,wielding,,,,,,,,,,
1663,then,my,moment,came,in,the,combat,and,i,struck,,,,,,,,,
1664,the,dwellers,in,that,den,next,thing,the,damascened,,,,,,,,,,
1665,sword,blade,melted,it,bloated,and,it,burned,,,,,,,,,,,
1666,in,their,rushing,blood,i,have,wrested,the,hilt,,,,,,,,,,
1667,from,the,enemies,hand,avenged,the,evil,,,,,,,,,,,,
1668,done,to,the,danes,it,is,what,was,due,1670,,,,,,,,,
1669,and,this,i,pledge,o,prince,of,the,shieldings,,,,,,,,,,
1670,you,can,sleep,secure,with,your,company,of,troops,,,,,,,,,,
1671,in,heorot,hall,never,need,you,fear,,,,,,,,,,,,
1672,for,a,single,thane,of,your,sept,or,nation,,,,,,,,,,
1673,young,warriors,or,old,that,laying,waste,of,life,,,,,,,,,,
1674,that,you,and,your,people,endured,of,yore,,,,,,,,,,,
1675,then,the,gold,hilt,was,handed,over,,,,,,,,,,,,
1676,to,the,old,lord,a,relic,from,long,ago,,,,,,,,,,
1677,for,the,venerable,ruler,that,rare,smith,work,,,,,,,,,,,
1678,was,passed,on,to,the,prince,of,the,danes,1680,,,,,,,,,
1679,when,those,devils,perished,once,death,removed,,,,,,,,,,,,
1680,that,murdering,guiltsteeped,godcursed,fiend,,,,,,,,,,,,,,
1681,eliminating,his,unholy,life,,,,,,,,,,,,,,,
1682,and,his,mothers,as,well,it,was,willed,that,the,king,,,,,,,,
1683,who,of,all,the,lavish,giftlords,of,the,north,,,,,,,,,,
1684,was,the,best,regarded,between,the,two,seas,,,,,,,,,,,
1685,hrothgar,spoke,he,examined,the,hilt,,,,,,,,,,,,,
1686,that,relic,of,old,times,it,was,engraved,all,over,,,,,,,,,
1687,and,showed,how,war,first,came,into,the,world,,,,,,,,,,
1688,and,the,flood,destroyed,the,tribe,of,giants,1690,,,,,,,,,,
1689,they,suffered,a,terrible,severance,from,the,lord,,,,,,,,,,,
1690,the,almighty,made,the,waters,rise,,,,,,,,,,,,,
1691,drowned,them,in,the,deluge,for,retribution,,,,,,,,,,,,
1692,in,pure,gold,inlay,on,the,swordguards,,,,,,,,,,,,
1693,there,were,rune,markings,correctly,incised,,,,,,,,,,,,,
1694,stating,and,recording,for,whom,the,sword,,,,,,,,,,,,
1695,had,been,first,made,and,ornamented,,,,,,,,,,,,,
1696,with,its,scrollwork,hilt,then,everyone,hushed,,,,,,,,,,,,
1697,as,the,son,of,halfdane,spoke,his,wisdom,,,,,,,,,,,
1698,a,protector,of,his,people,pledged,to,uphold,1700,,,,,,,,,,
1699,truth,and,justice,and,to,respect,tradition,,,,,,,,,,,,
1700,is,entitled,to,affirm,that,this,man,,,,,,,,,,,,
1701,was,born,to,distinction,beowulf,my,friend,,,,,,,,,,,,
1702,your,fame,has,gone,far,and,wide,,,,,,,,,,,,
1703,you,are,known,everywhere,in,all,things,you,are,eventempered,,,,,,,,,
1704,prudent,and,resolute,so,i,stand,firm,by,the,promise,of,friendship,,,,,,,
1705,we,exchanged,before,forever,you,will,be,,,,,,,,,,,,
1706,your,peoples,mainstay,and,your,own,warriors,,,,,,,,,,,,
1707,helping,hand,heremod,was,different,,,,,,,,,,,,,,
1708,the,way,he,behaved,to,ecgwalas,sons,1710,,,,,,,,,,,
1709,his,rise,in,the,world,brought,little,joy,,,,,,,,,,,
1710,to,the,danish,people,only,death,and,destruction,,,,,,,,,,,
1711,he,vented,his,rage,on,people,he,caroused,with,,,,,,,,,,
1712,killed,his,own,comrades,a,pariah,king,,,,,,,,,,,,
1713,who,cut,himself,off,from,his,own,kind,,,,,,,,,,,
1714,even,though,god,almighty,had,made,him,,,,,,,,,,,,
1715,eminent,and,powerful,and,marked,him,from,the,start,,,,,,,,,,
1716,for,a,happy,life,but,a,change,happened,,,,,,,,,,,
1717,he,grew,bloodthirsty,gave,no,more,rings,,,,,,,,,,,,
1718,to,honor,the,danes,he,suffered,in,the,end,1720,,,,,,,,,
1719,for,having,plagued,his,people,for,so,long,,,,,,,,,,,
1720,his,life,lost,happiness,so,learn,from,this,,,,,,,,,,,
1721,and,understand,true,values,i,who,tell,you,,,,,,,,,,,
1722,have,wintered,into,wisdom,it,is,a,great,wonder,,,,,,,,,,
1723,how,almighty,god,in,his,magnificence,,,,,,,,,,,,,
1724,favors,our,race,with,rank,and,scope,,,,,,,,,,,,
1725,and,the,gift,of,wisdom,his,sway,is,wide,,,,,,,,,,
1726,sometimes,he,allows,the,mind,of,a,man,,,,,,,,,,,
1727,of,distinguished,birth,to,follow,its,bent,,,,,,,,,,,,
1728,grants,him,fulfillment,and,felicity,on,earth,1730,,,,,,,,,,,
1729,and,forts,to,command,in,his,own,country,,,,,,,,,,,
1730,he,permits,him,to,lord,it,in,many,lands,,,,,,,,,,
1731,until,the,man,in,his,unthinkingness,,,,,,,,,,,,,
1732,forgets,that,it,will,ever,end,for,him,,,,,,,,,,,
1733,he,indulges,his,desires,illness,and,old,age,,,,,,,,,,,
1734,mean,nothing,to,him,his,mind,is,untroubled,,,,,,,,,,,
1735,by,envy,or,malice,or,thought,of,enemies,,,,,,,,,,,
1736,with,their,hatehoned,swords,the,whole,world,,,,,,,,,,,,
1737,conforms,to,his,will,he,is,kept,from,the,worst,,,,,,,,,
1738,until,an,element,of,overweening,1740,,,,,,,,,,,,,
1739,enters,him,and,takes,hold,,,,,,,,,,,,,,
1740,while,the,souls,guard,its,sentry,drowses,,,,,,,,,,,,
1741,grown,too,distracted,a,killer,stalks,him,,,,,,,,,,,,
1742,an,archer,who,draws,a,deadly,bow,,,,,,,,,,,,
1743,and,then,the,man,is,hit,in,the,heart,,,,,,,,,,
1744,the,arrow,flies,beneath,his,defenses,,,,,,,,,,,,,
1745,the,devious,promptings,of,the,demon,start,,,,,,,,,,,,
1746,his,old,possessions,seem,paltry,to,him,now,,,,,,,,,,,
1747,he,covets,and,resents,dishonors,custom,,,,,,,,,,,,,
1748,and,bestows,no,gold,and,because,of,good,things,1750,,,,,,,,,
1749,that,the,heavenly,powers,gave,him,in,the,past,,,,,,,,,,
1750,he,ignores,the,shape,of,things,to,come,,,,,,,,,,,
1751,then,finally,the,end,arrives,,,,,,,,,,,,,,
1752,when,the,body,he,was,lent,collapses,and,falls,,,,,,,,,,
1753,prey,to,its,death,ancestral,possessions,,,,,,,,,,,,,
1754,and,the,goods,he,hoarded,and,inherited,by,another,,,,,,,,,,
1755,who,lets,them,go,with,a,liberal,hand,,,,,,,,,,,
1756,o,flower,of,warriors,beware,of,that,trap,,,,,,,,,,,
1757,choose,dear,beowulf,the,better,part,,,,,,,,,,,,,
1758,eternal,rewards,do,not,give,way,to,pride,1760,,,,,,,,,,
1759,for,a,brief,while,your,strength,is,in,bloom,,,,,,,,,,
1760,but,it,fades,quickly,and,soon,there,will,follow,,,,,,,,,,
1761,illness,or,the,sword,to,lay,you,low,,,,,,,,,,,
1762,or,a,sudden,fire,or,surge,of,water,,,,,,,,,,,
1763,or,jabbing,blade,or,javelin,from,the,air,,,,,,,,,,,
1764,or,repellent,age,your,piercing,eye,,,,,,,,,,,,,
1765,will,dim,and,darken,and,death,will,arrive,,,,,,,,,,,
1766,dear,warrior,to,sweep,you,away,,,,,,,,,,,,,
1767,just,so,i,ruled,the,ringdanes,country,,,,,,,,,,,,
1768,for,fifty,years,defended,them,in,wartime,1770,,,,,,,,,,,
1769,with,spear,and,sword,against,constant,assaults,,,,,,,,,,,,
1770,by,many,tribes,i,came,to,believe,,,,,,,,,,,,
1771,my,enemies,had,faded,from,the,face,of,the,earth,,,,,,,,,
1772,still,what,happened,was,a,hard,reversal,,,,,,,,,,,,
1773,from,bliss,to,grief,grendel,struck,,,,,,,,,,,,,
1774,after,lying,in,wait,he,laid,waste,the,land,,,,,,,,,,
1775,and,from,that,moment,my,mind,was,in,dread,,,,,,,,,,
1776,of,his,depredations,so,i,praise,god,,,,,,,,,,,,
1777,in,his,heavenly,glory,that,i,lived,to,behold,,,,,,,,,,
1778,this,head,dripping,blood,and,after,such,harrowing,1780,,,,,,,,,,
1779,i,can,look,upon,it,in,triumph,at,last,,,,,,,,,,
1780,take,your,place,then,with,pride,and,pleasure,,,,,,,,,,,
1781,and,move,to,the,feast,tomorrow,morning,,,,,,,,,,,,
1782,our,treasure,will,be,shared,and,showered,upon,you,,,,,,,,,,
1783,the,geat,was,elated,and,gladly,obeyed,,,,,,,,,,,,
1784,the,old,mans,biding,he,sat,on,the,bench,,,,,,,,,,
1785,and,soon,all,was,restored,the,same,as,before,,,,,,,,,,
1786,happiness,came,back,the,hall,was,thronged,,,,,,,,,,,,
1787,and,a,banquet,set,forth,black,night,fell,,,,,,,,,,,
1788,and,covered,them,in,darkness,1790,,,,,,,,,,,,,
1789,then,the,company,rose,,,,,,,,,,,,,,,
1790,for,the,old,campaigner,the,grayhaired,prince,,,,,,,,,,,,
1791,was,ready,for,bed,and,a,need,for,rest,,,,,,,,,,
1792,came,over,the,brave,shieldbearing,geat,,,,,,,,,,,,,
1793,he,was,a,weary,seafarer,far,from,home,,,,,,,,,,,
1794,so,immediately,a,houseguard,guided,him,out,,,,,,,,,,,,
1795,one,whose,office,entailed,looking,after,,,,,,,,,,,,,
1796,whatever,a,thane,on,the,road,in,those,days,,,,,,,,,,
1797,might,need,or,require,it,was,noble,courtesy,,,,,,,,,,,
1798,that,great,heart,rested,the,hall,towered,,,,,,,,,,,,
1799,goldshingled,and,gabled,and,the,guest,slept,in,it,1800,,,,,,,,,
1800,until,the,black,raven,with,raucous,glee,,,,,,,,,,,,
1801,announced,heavens,joy,and,a,hurry,of,brightness,,,,,,,,,,,
1802,overran,the,shadows,warriors,rose,quickly,,,,,,,,,,,,,
1803,impatient,to,be,off,their,own,country,,,,,,,,,,,,
1804,was,beckoning,the,nobles,and,the,bold,voyager,,,,,,,,,,,
1805,longed,to,be,aboard,his,distant,boat,,,,,,,,,,,,
1806,then,that,stalwart,fighter,ordered,hrunting,,,,,,,,,,,,,
1807,to,be,brought,to,unferth,and,bade,unferth,,,,,,,,,,,
1808,take,the,sword,and,thanked,him,for,lending,it,,,,,,,,,,
1809,he,said,he,had,found,it,a,friend,in,battle,1810,,,,,,,,
1810,and,a,powerful,help,he,put,no,blame,,,,,,,,,,,
1811,on,the,blades,cutting,edge,he,was,a,considerate,man,,,,,,,,,
1812,and,there,the,warriors,stood,in,their,wargear,,,,,,,,,,,
1813,eager,to,go,while,their,honored,lord,,,,,,,,,,,,
1814,approached,the,platform,where,the,other,sat,,,,,,,,,,,,
1815,the,undaunted,hero,addressed,hrothgar,,,,,,,,,,,,,,
1816,beowulf,son,of,ecgtheow,spoke,,,,,,,,,,,,,,
1817,now,we,who,crossed,the,wide,sea,,,,,,,,,,,,
1818,have,to,inform,you,that,we,feel,a,desire,,,,,,,,,,
1819,to,return,to,hygelac,here,we,have,been,welcomed,1820,,,,,,,,,
1820,and,thoroughly,entertain,you,have,treated,us,well,,,,,,,,,,,
1821,if,there,is,any,favor,on,earth,i,can,perform,,,,,,,,,
1822,beyond,deeds,of,arms,i,have,done,already,,,,,,,,,,,
1823,anything,that,would,merit,your,affections,more,,,,,,,,,,,,
1824,i,shall,act,my,lord,with,alacrity,,,,,,,,,,,,
1825,if,ever,i,hear,from,across,the,ocean,,,,,,,,,,,
1826,that,people,on,your,borders,are,threatening,battle,,,,,,,,,,,
1827,as,attackers,have,done,from,time,to,time,,,,,,,,,,,
1828,i,shall,land,with,a,thousand,thanes,at,my,back,,,,,,,,,
1829,to,help,your,cause,hygelac,may,be,young,1830,,,,,,,,,,
1830,to,rule,a,nation,but,this,much,i,know,,,,,,,,,,
1831,about,the,king,of,the,geats,he,will,come,to,my,aid,,,,,,,
1832,and,want,to,support,me,by,word,and,action,,,,,,,,,,
1833,in,your,hour,of,need,when,honor,dictates,,,,,,,,,,,
1834,that,i,raise,a,hedge,of,spears,around,you,,,,,,,,,,
1835,then,if,hrethric,should,think,about,traveling,,,,,,,,,,,,
1836,as,a,kings,son,to,the,court,of,the,geats,,,,,,,,,
1837,he,will,find,many,friend,foreign,places,,,,,,,,,,,,
1838,yield,more,to,one,who,is,himself,worth,meeting,,,,,,,,,,
1839,hrothgar,spoke,and,answered,him,1840,,,,,,,,,,,,,
1840,the,lord,in,his,wisdom,sent,you,those,words,,,,,,,,,,
1841,and,they,came,from,the,heart,i,have,never,heard,,,,,,,,,
1842,so,young,a,man,make,truer,observations,,,,,,,,,,,,
1843,you,are,strong,in,body,and,mature,in,mind,,,,,,,,,,
1844,impressive,in,speech,if,it,should,come,to,pass,,,,,,,,,,
1845,that,hrethels,descendant,dies,beneath,a,spear,,,,,,,,,,,,
1846,if,deadly,battle,or,the,sword,blade,or,disease,,,,,,,,,,
1847,fells,the,prince,who,guards,your,people,,,,,,,,,,,,
1848,and,you,are,still,alive,i,firmly,believe,,,,,,,,,,,
1849,the,seafaring,geats,wont,find,a,man,1850,,,,,,,,,,,
1850,worthier,of,acclaim,as,their,king,and,defender,,,,,,,,,,,
1851,than,you,if,only,you,would,undertake,,,,,,,,,,,,
1852,the,lordship,of,your,homeland,my,liking,for,you,,,,,,,,,,
1853,deepens,with,time,dear,beowulf,,,,,,,,,,,,,,
1854,what,you,have,done,is,to,draw,two,peoples,,,,,,,,,,
1855,the,geat,nation,and,us,neighboring,danes,,,,,,,,,,,,
1856,into,shared,peace,and,a,pact,of,friendship,,,,,,,,,,,
1857,in,spite,of,hatreds,we,have,harbored,in,the,past,,,,,,,,,
1858,for,as,long,as,i,rule,this,farflung,land,,,,,,,,,,
1859,treasures,will,change,hands,and,each,side,will,treat,1860,,,,,,,,,
1860,the,other,with,gifts,across,the,gannets,bath,,,,,,,,,,,
1861,over,the,broad,sea,whorled,prows,will,bring,,,,,,,,,,,
1862,presents,and,tokens,i,know,your,people,,,,,,,,,,,,
1863,are,beyond,reproach,in,every,respect,,,,,,,,,,,,,
1864,steadfast,in,the,old,way,with,friend,or,foe,,,,,,,,,,
1865,then,the,earls,defender,furnished,the,hero,,,,,,,,,,,,
1866,with,twelve,treasures,and,told,him,to,set,out,,,,,,,,,,
1867,sail,with,those,gifts,safely,home,,,,,,,,,,,,,
1868,to,the,people,he,loved,but,to,return,promptly,,,,,,,,,,
1869,and,so,the,good,and,grayhaired,dane,1870,,,,,,,,,,,
1870,that,highborn,king,kissed,beowulf,,,,,,,,,,,,,,
1871,and,embraced,his,neck,then,broke,down,,,,,,,,,,,,
1872,in,sudden,tears,two,forebodings,,,,,,,,,,,,,,
1873,disturbed,him,in,his,wisdom,but,one,was,stronger,,,,,,,,,,
1874,nevermore,would,they,meet,each,other,,,,,,,,,,,,,
1875,face,to,face,and,such,was,his,affection,,,,,,,,,,,
1876,that,he,could,not,help,being,overcome,,,,,,,,,,,,
1877,his,fondness,for,the,man,was,so,deepfounded,,,,,,,,,,,
1878,it,warmed,his,heart,and,wound,the,heartstrings,,,,,,,,,,,
1879,tight,in,his,breast,1880,the,embrace,ended,,,,,,,,,,,
1880,and,beowulf,glorious,in,his,gold,regalia,,,,,,,,,,,,
1881,stepped,on,the,green,earth,straining,at,anchor,,,,,,,,,,,
1882,and,ready,for,boarding,his,boat,awaited,him,,,,,,,,,,,
1883,so,they,went,on,their,journey,and,hrothgars,generosity,,,,,,,,,,
1884,was,praised,repeatedly,he,was,a,peerless,king,,,,,,,,,,,
1885,until,old,age,sapped,his,strength,and,did,him,,,,,,,,,,
1886,mortal,harm,as,it,has,done,so,many,,,,,,,,,,,
1887,down,to,the,waves,then,dressed,in,the,web,,,,,,,,,,
1888,of,their,chainmail,and,warshirts,the,young,men,marched,,,,,,,,,,
1889,in,high,spirits,the,coastguard,spied,them,1890,,,,,,,,,,,
1890,thanes,setting,forth,the,same,as,before,,,,,,,,,,,,
1891,his,salute,this,time,from,the,top,of,the,cliff,,,,,,,,,
1892,was,far,from,unmannerly,he,galloped,to,meet,them,,,,,,,,,,
1893,and,as,they,took,ship,in,their,shinning,gear,,,,,,,,,,
1894,he,said,how,welcome,they,would,be,in,geatland,,,,,,,,,,
1895,then,the,broad,hull,was,beached,on,the,sand,,,,,,,,,,
1896,to,be,cargoed,with,treasure,horses,and,wargear,,,,,,,,,,,
1897,the,curved,prow,motioned,the,mast,stood,high,,,,,,,,,,,
1898,above,hrothgars,riches,in,the,loaded,hold,,,,,,,,,,,,
1899,the,guard,who,had,watched,the,boat,was,given,1900,,,,,,,,,
1900,a,sword,with,gold,fittings,and,in,future,days,,,,,,,,,,
1901,that,present,would,make,him,a,respected,man,,,,,,,,,,,
1902,at,his,place,on,the,meadbench,then,the,keel,plunged,,,,,,,,,
1903,and,shook,in,the,sea,and,they,sailed,from,denmark,,,,,,,,,
1904,right,away,the,mast,was,rigged,with,its,seashawl,,,,,,,,,,
1905,sail,ropes,were,tightened,timbers,drummed,,,,,,,,,,,,,
1906,and,stiff,winds,kept,the,wavecrosser,,,,,,,,,,,,,
1907,skimming,ahead,as,she,heaved,forward,,,,,,,,,,,,,
1908,her,foamy,neck,was,fleet,and,buoyant,,,,,,,,,,,,
1909,a,lapped,prow,loping,over,currents,1910,,,,,,,,,,,,
1910,until,finally,the,geats,caught,sight,of,coastline,,,,,,,,,,,
1911,and,familiar,cliffs,the,keel,reared,up,,,,,,,,,,,,
1912,wind,lifted,it,home,it,hit,on,the,land,,,,,,,,,,
1913,the,harbor,guard,came,hurrying,out,,,,,,,,,,,,,
1914,to,the,rolling,water,he,had,watched,the,offing,,,,,,,,,,
1915,long,and,hard,on,the,lookout,for,those,friends,,,,,,,,,,
1916,with,the,anchor,cables,he,moored,their,craft,,,,,,,,,,,
1917,right,where,it,had,beached,in,case,a,backwash,,,,,,,,,,
1918,might,catch,the,hull,and,carry,it,away,,,,,,,,,,,
1919,then,he,ordered,the,princes,treasuretrove,1920,,,,,,,,,,,,
1920,to,be,carried,ashore,it,was,a,short,step,,,,,,,,,,
1921,from,there,to,where,hrethels,son,and,heir,,,,,,,,,,,
1922,hygelac,the,goldgiver,makes,his,home,,,,,,,,,,,,,
1923,on,a,secure,cliff,in,the,company,of,retainers,,,,,,,,,,
1924,the,building,was,magnificent,the,king,majestic,,,,,,,,,,,,
1925,ensconced,in,his,hall,and,although,hygd,his,queen,,,,,,,,,,
1926,was,young,a,few,short,years,at,court,,,,,,,,,,,
1927,her,mind,was,thoughtful,and,her,manners,sure,,,,,,,,,,,
1928,haereths,daughter,behaved,generously,,,,,,,,,,,,,,,
1929,and,stinted,nothing,when,she,distributed,1930,,,,,,,,,,,,
1930,bounty,to,the,geats,great,queen,modthryth,,,,,,,,,,,,
1931,perpetrated,terrible,wrongs,,,,,,,,,,,,,,,,
1932,if,any,retainer,ever,made,bold,,,,,,,,,,,,,
1933,to,look,her,in,the,face,if,an,eye,not,her,lords,,,,,,,
1934,stared,at,her,directly,during,daylight,,,,,,,,,,,,,
1935,the,outcome,was,sealed,he,was,bound,,,,,,,,,,,,
1936,in,handtightened,shackles,racked,tortured,,,,,,,,,,,,,,
1937,until,doom,was,announceddeath,by,the,sword,,,,,,,,,,,,
1938,slash,of,blade,blood,gush,and,death,qualms,,,,,,,,,,,
1939,in,an,evil,display,even,a,queen,1940,,,,,,,,,,,
1940,outstanding,in,beauty,must,not,overstep,like,that,,,,,,,,,,,
1941,a,queen,should,weave,peace,not,punish,the,innocent,,,,,,,,,,
1942,with,loss,of,life,for,imagined,insults,,,,,,,,,,,,
1943,but,hemmings,kinsman,put,a,halt,to,her,ways,,,,,,,,,,
1944,and,drinkers,round,the,table,had,another,tale,,,,,,,,,,,
1945,she,was,less,of,a,bane,to,peoples,lives,,,,,,,,,,
1946,less,cruelminded,after,she,was,married,,,,,,,,,,,,,
1947,to,the,brave,offa,a,bride,arrayed,,,,,,,,,,,,
1948,in,her,gold,finery,given,away,,,,,,,,,,,,,
1949,by,a,caring,father,ferried,to,her,young,prince,1950,,,,,,,,,
1950,over,dim,seas,in,days,to,come,,,,,,,,,,,,
1951,she,would,grace,the,throne,and,grow,famous,,,,,,,,,,,
1952,for,her,good,deeds,and,conduct,of,life,,,,,,,,,,,
1953,her,high,devotion,to,the,hero,king,,,,,,,,,,,,
1954,who,was,the,best,king,it,has,been,said,,,,,,,,,,
1955,between,the,two,seas,or,anywhere,else,,,,,,,,,,,,
1956,on,the,face,of,the,earth,offa,was,honored,,,,,,,,,,
1957,far,and,wide,for,his,generous,ways,,,,,,,,,,,,
1958,his,fighting,spirit,and,his,farseeing,,,,,,,,,,,,,
1959,defense,of,his,homeland,from,him,there,sprang,eomer,1960,,,,,,,,,
1960,garmunds,grandson,kinsman,of,hemming,,,,,,,,,,,,,,
1961,his,warriors,mainstay,and,master,of,the,field,,,,,,,,,,,
1962,heroic,beowulf,and,his,band,of,men,,,,,,,,,,,,
1963,crossed,the,wide,strand,striding,along,,,,,,,,,,,,,
1964,the,sandy,foreshore,the,sun,shone,,,,,,,,,,,,,
1965,the,worlds,candle,warmed,them,from,the,south,,,,,,,,,,,
1966,as,they,hastened,to,where,as,they,had,heard,,,,,,,,,,
1967,the,young,king,ongentheows,killer,,,,,,,,,,,,,,
1968,and,his,peoples,protector,was,dispensing,rings,,,,,,,,,,,,
1969,inside,his,bawn,beowulfs,return,1970,,,,,,,,,,,,,
1970,was,reported,to,hygelac,as,soon,as,possible,,,,,,,,,,,
1971,news,that,the,captain,was,now,in,the,enclosure,,,,,,,,,,
1972,his,battlebrother,back,from,the,fray,,,,,,,,,,,,,
1973,alive,and,well,walking,back,to,the,hall,,,,,,,,,,,
1974,room,was,quickly,made,on,the,kings,orders,,,,,,,,,,,
1975,and,the,troops,filed,across,the,cleared,floor,,,,,,,,,,,
1976,after,hygelac,had,offered,greetings,,,,,,,,,,,,,,
1977,to,his,loyal,thane,in,lofty,speech,,,,,,,,,,,,
1978,he,and,his,kinsman,that,hale,survivor,,,,,,,,,,,,
1979,sat,face,to,face,haereths,daughter,1980,,,,,,,,,,,,
1980,moved,about,with,the,meadjug,in,her,hand,,,,,,,,,,,
1981,taking,care,of,the,company,filling,the,cups,,,,,,,,,,,
1982,that,warriors,held,out,then,hygelac,began,,,,,,,,,,,,
1983,to,put,courteous,questions,to,his,old,comrade,,,,,,,,,,,
1984,in,the,high,hall,he,hankered,to,know,,,,,,,,,,,
1985,every,tale,the,seageats,had,to,tell,,,,,,,,,,,,
1986,how,did,you,fare,on,your,foreign,voyage,,,,,,,,,,,
1987,dear,beowulf,when,you,abruptly,decided,,,,,,,,,,,,,
1988,to,sail,away,across,the,salt,water,,,,,,,,,,,,
1989,and,fight,at,heorot,did,you,help,hrothgar,1990,,,,,,,,,,
1990,much,in,the,end,could,you,ease,the,prince,,,,,,,,,,
1991,of,his,wellknown,troubles,your,undertaking,,,,,,,,,,,,,
1992,cast,my,spirits,down,i,dreaded,the,outcome,,,,,,,,,,,
1993,of,your,expedition,and,pleaded,with,you,,,,,,,,,,,,
1994,long,and,hard,to,leave,the,killer,be,,,,,,,,,,,
1995,let,the,southdanes,settle,their,own,,,,,,,,,,,,,
1996,bloodfeud,with,grendel,so,god,be,thanked,,,,,,,,,,,,
1997,i,am,granted,this,sight,of,you,safe,and,sound,,,,,,,,,
1998,beowulf,son,of,ecgtheow,spoke,,,,,,,,,,,,,,
1999,what,happened,lord,hygelac,is,hardly,a,secret,2000,,,,,,,,,,
2000,any,more,among,men,in,this,world,,,,,,,,,,,,
2001,myself,and,grendel,coming,to,grips,,,,,,,,,,,,,
2002,on,the,very,spot,where,he,visited,destruction,,,,,,,,,,,
2003,on,the,victoryshieldings,and,violated,,,,,,,,,,,,,,
